2026-08-26 15:18:27,995 | upload_instagram | INFO | Using direct Facebook source CDN URL for Instagram: https://scontent.faip2-1.fna.fbcdn.net/o1/v/t2/f2/m366/AQP9qEUUG2dnoqKp6xstnlmVD2LTNaUN9OgsOwbvP5k2wHoAYqh1ArGjcc3HmAEljG9NQk-6PC4pUxnQNn8LtUL23Kpc32_sqfEfXRoIez24AA.mp4?_nc_cat=101&_nc_oc=AdrqkyteSclifMOcnosNKWWdUWiooMG0fUUnUEhulXCdN_wWINqzdBK_gheAxjky5as&_nc_sid=5e9851&_nc_ht=scontent.faip2-1.fna.fbcdn.net&_nc_ohc=uYeSDMObdFsQ7kNvwFtBpfP&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5GQUNFQk9PSy4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjIwNjQwNTA1NDQyMDM2MzksImFzc2V0X2FnZV9kYXlzIjowLCJ2aV91c2VjYXNlX2lkIjoxMDEyNywiZHVyYXRpb25fcyI6MzIsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=5142be36fff27fe1&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC9EQjQyMTk0QkZENDJFRUQ1NzQwREE0RUZFRDE5MUM5Ml9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50Lzg1NEM1RTcwMkRFRUE0RjhEMTc2NUQ4QzJDMEU0OThCX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbu3eL3xs-qBxUCKAJDMywXQEBEOVgQYk4YGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUCZZ6eAQA&_nc_gid=oUdkNHseshd5gkjVIpa7Lg&edm=APRAPSkEAAAA&_nc_zt=28&_nc_tpa=Q5bMBQJR_I31tSjy60cxNj3dhwn7nXf9Az0ANhfB1Sh98jQL2WLdm0224Dt4J3AX7HHX0wjmHmnWcqW3Xw&oh=00_AQElUxQ2P2cU81NVcu1T4LCjU1SuaV8cwA9ac4oDIkMwPg&oe=6A949EAB&bitrate=247246&tag=dash_h264-basic-gen2_720p
2026-08-26 15:18:27,996 | upload_instagram | INFO | Local video file found (E:\ai_gen\AI-VIDEO-V2\output\short.mp4) – using resumable upload.
2026-08-26 15:18:27,998 | meta_auth | INFO | Meta credentials loaded successfully.
2026-08-26 15:18:27,998 | meta_auth | INFO | Meta credentials loaded successfully.
2026-08-26 15:18:27,999 | meta_auth | INFO | Validating access token via debug_token endpoint …
2026-08-26 15:18:28,611 | meta_auth | INFO | Token info — type: USER | scopes: manage_fundraisers, read_insights, publish_video, catalog_management, pages_show_list, ads_management, ads_read, business_management, pages_messaging, instagram_basic, instagram_manage_comments, instagram_manage_insights, instagram_content_publish, leads_retrieval, instagram_manage_messages, pages_read_engagement, pages_manage_metadata, pages_read_user_content, pages_manage_ads, pages_manage_posts, pages_manage_engagement, instagram_branded_content_brand, instagram_branded_content_creator, instagram_branded_content_ads_brand, instagram_manage_upcoming_events, instagram_creator_marketplace_discovery, instagram_manage_contents, instagram_manage_engagement, public_profile | expires: never
2026-08-26 15:18:28,611 | meta_auth | INFO | Access token is valid.
2026-08-26 15:18:28,612 | upload_instagram | INFO | Creating resumable Instagram container for account 17841435307918273 …
2026-08-26 15:18:29,753 | upload_instagram | INFO | Resumable container created: 18094342802176931
2026-08-26 15:18:29,755 | upload_instagram | INFO | Uploading binary (1958568 bytes) to https://rupload.facebook.com/ig-api-upload/18094342802176931 …
